Project Name,Package Name,Type Name,Method Name,Implementation Smell,Cause of the Smell
tika,org.apache.tika.example,DumpTikaConfigExampleTest,testDump,Magic Number,The method contains a magic number: 130
tika,org.apache.tika.example,DumpTikaConfigExampleTest,testDump,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToPlainTextChunks,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToPlainTextChunks,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.example,TextStatsFromTikaEvalTest,testOOV,Magic Number,The method contains a magic number: 0.25
tika,org.apache.tika.example,TextStatsFromTikaEvalTest,testOOV,Magic Number,The method contains a magic number: 0.01
tika,org.apache.tika.example,TestParsingExample,testRecursiveParserWrapperExample,Magic Number,The method contains a magic number: 12
tika,org.apache.tika.example,TestParsingExample,testRecursiveParserWrapperExample,Magic Number,The method contains a magic number: 6
tika,org.apache.tika.example,TestParsingExample,testSerializedRecursiveParserWrapperExample,Magic Number,The method contains a magic number: 12
tika,org.apache.tika.example,SimpleTextExtractorTest,testSimpleTextExtractor,Long Statement,The length of the statement "String message="This is Tika - Hello` World! This is simple UTF-8 text" + " content written in English to test autodetection of" + " the character encoding of the input stream.";" is 178.
tika,org.apache.tika.example,ExtractEmbeddedFilesTest,testExtractEmbeddedFiles,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.example,ParsingExample,extractEmbeddedDocumentsExample,Long Statement,The length of the statement "try (TikaInputStream stream=TikaInputStream.get(ParsingExample.class.getResourceAsStream("test_recursive_embedded.docx"))){" is 123.
tika,org.apache.tika.example,InterruptableParsingExample,characters,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.example,InterruptingContentHandler,characters,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.example,ImportContextImpl,ImportContextImpl,Long Parameter List,The method has 6 parameters. 
tika,org.apache.tika.example,ImportContextImpl,getInputStream,Empty catch clause,The method has an empty catch block.
tika,org.apache.tika.example,SpringExample,main,Long Statement,The length of the statement "parser.parse(new ByteArrayInputStream("Hello` World!".getBytes(UTF_8))`new WriteOutContentHandler(System.out)`new Metadata()`new ParseContext());" is 145.
tika,org.apache.tika.example,PickBestTextEncodingParser,parserCompleted,Complex Conditional,The conditional expression (c >= 'a' && c <= 'z') || (c >= 'A' && c <= 'Z') || (c >= '0' && c <= '9') is complex.
tika,org.apache.tika.example,PickBestTextEncodingParser,parserCompleted,Long Parameter List,The method has 5 parameters. 
tika,org.apache.tika.example,DumpTikaConfigExample,main,Complex Method,Cyclomatic complexity of the method is 9
tika,org.apache.tika.example,DirListParser,parse,Long Statement,The length of the statement "this.addMetadata(metadata`filePermissions`numHardLinks`fileOwner`fileOwnerGroup`fileSize`lastModDate.toString()`fileName.toString());" is 133.
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 8
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 3
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 4
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 6
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 7
tika,org.apache.tika.example,DirListParser,parse,Magic Number,The method contains a magic number: 8
tika,org.apache.tika.example,DirListParser,addMetadata,Long Parameter List,The method has 8 parameters. 
tika,org.apache.tika.example,RollbackSoftware,rollback,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.example,RollbackSoftware,rollback,Magic Number,The method contains a magic number: 2
tika,org.apache.tika.example,RecentFiles,generateRSS,Long Statement,The length of the statement "TermRangeQuery query=new TermRangeQuery(TikaCoreProperties.CREATED.getName()`new BytesRef(fiveMinsAgo)`new BytesRef(nowDateTime)`true`true);" is 140.
tika,org.apache.tika.example,RecentFiles,generateRSS,Magic Number,The method contains a magic number: 5
tika,org.apache.tika.example,RecentFiles,generateRSS,Magic Number,The method contains a magic number: 20
tika,org.apache.tika.example,RecentFiles,generateRSS,Magic Number,The method contains a magic number: 10000
