Project Name,Package Name,Type Name,Method Name,LOC,CC,PC
tika,org.apache.tika.example,DumpTikaConfigExampleTest,setUp,8,1,0
tika,org.apache.tika.example,DumpTikaConfigExampleTest,tearDown,8,3,0
tika,org.apache.tika.example,DumpTikaConfigExampleTest,testDump,20,3,0
tika,org.apache.tika.example,TranslatorExampleTest,setUp,3,1,0
tika,org.apache.tika.example,TranslatorExampleTest,testMicrosoftTranslateToFrench,6,2,0
tika,org.apache.tika.example,LanguageDetectorExampleTest,setUp,3,1,0
tika,org.apache.tika.example,LanguageDetectorExampleTest,testDetectLanguage,4,1,0
tika,org.apache.tika.example,ContentHandlerExampleTest,setUp,3,1,0
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToPlainText,4,1,0
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToHTML,9,1,0
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseBodyToHTML,9,1,0
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseOnePartToHTML,12,1,0
tika,org.apache.tika.example,ContentHandlerExampleTest,testParseToPlainTextChunks,13,2,0
tika,org.apache.tika.example,TextStatsFromTikaEvalTest,testOOV,5,1,0
tika,org.apache.tika.example,SimpleTypeDetectorTest,testSimpleTypeDetector,8,1,0
tika,org.apache.tika.example,AdvancedTypeDetectorTest,testDetectWithCustomConfig,3,1,0
tika,org.apache.tika.example,TestParsingExample,setUp,3,1,0
tika,org.apache.tika.example,TestParsingExample,testParseToStringExample,4,1,0
tika,org.apache.tika.example,TestParsingExample,testParseExample,4,1,0
tika,org.apache.tika.example,TestParsingExample,testNoEmbeddedExample,7,1,0
tika,org.apache.tika.example,TestParsingExample,testRecursiveParseExample,7,1,0
tika,org.apache.tika.example,TestParsingExample,testRecursiveParserWrapperExample,7,1,0
tika,org.apache.tika.example,TestParsingExample,testSerializedRecursiveParserWrapperExample,6,1,0
tika,org.apache.tika.example,TestParsingExample,assertContains,3,1,2
tika,org.apache.tika.example,TestParsingExample,assertNotContains,3,1,2
tika,org.apache.tika.example,SimpleTextExtractorTest,testSimpleTextExtractor,12,1,0
tika,org.apache.tika.example,ExtractEmbeddedFilesTest,setUp,4,1,0
tika,org.apache.tika.example,ExtractEmbeddedFilesTest,tearDown,8,2,0
tika,org.apache.tika.example,ExtractEmbeddedFilesTest,testExtractEmbeddedFiles,4,1,0
tika,org.apache.tika.example,TextStatsFromTikaEval,getOOV,9,1,1
tika,org.apache.tika.example,ParsingExample,parseToStringExample,6,1,0
tika,org.apache.tika.example,ParsingExample,parseExample,9,1,0
tika,org.apache.tika.example,ParsingExample,parseNoEmbeddedExample,11,1,0
tika,org.apache.tika.example,ParsingExample,parseEmbeddedExample,11,1,0
tika,org.apache.tika.example,ParsingExample,recursiveParserWrapperExample,13,1,0
tika,org.apache.tika.example,ParsingExample,serializedRecursiveParserWrapperExample,6,1,0
tika,org.apache.tika.example,ParsingExample,extractEmbeddedDocumentsExample,13,2,1
tika,org.apache.tika.example,TrecDocumentGenerator,summarize,6,1,1
tika,org.apache.tika.example,TrecDocumentGenerator,TrecDocument,5,1,3
tika,org.apache.tika.example,TrecDocumentGenerator,TrecDocument,2,1,0
tika,org.apache.tika.example,TrecDocumentGenerator,getDocname,3,1,0
tika,org.apache.tika.example,TrecDocumentGenerator,setDocname,3,1,1
tika,org.apache.tika.example,TrecDocumentGenerator,getBody,3,1,0
tika,org.apache.tika.example,TrecDocumentGenerator,setBody,3,1,1
tika,org.apache.tika.example,TrecDocumentGenerator,getDate,3,1,0
tika,org.apache.tika.example,TrecDocumentGenerator,setDate,3,1,1
tika,org.apache.tika.example,TrecDocument,TrecDocument,5,1,3
tika,org.apache.tika.example,TrecDocument,TrecDocument,2,1,0
tika,org.apache.tika.example,TrecDocument,getDocname,3,1,0
tika,org.apache.tika.example,TrecDocument,setDocname,3,1,1
tika,org.apache.tika.example,TrecDocument,getBody,3,1,0
tika,org.apache.tika.example,TrecDocument,setBody,3,1,1
tika,org.apache.tika.example,TrecDocument,getDate,3,1,0
tika,org.apache.tika.example,TrecDocument,setDate,3,1,1
tika,org.apache.tika.example,InterruptableParsingExample,findInFile,16,1,2
tika,org.apache.tika.example,InterruptableParsingExample,InterruptingContentHandler,3,1,1
tika,org.apache.tika.example,InterruptableParsingExample,characters,5,3,3
tika,org.apache.tika.example,InterruptingContentHandler,InterruptingContentHandler,3,1,1
tika,org.apache.tika.example,InterruptingContentHandler,characters,5,3,3
tika,org.apache.tika.example,ImportContextImpl,ImportContextImpl,18,4,6
tika,org.apache.tika.example,ImportContextImpl,getIOListener,3,1,0
tika,org.apache.tika.example,ImportContextImpl,getImportRoot,3,1,0
tika,org.apache.tika.example,ImportContextImpl,hasStream,3,1,0
