Project Name,Package Name,Type Name,NOF,NOPF,NOM,NOPM,LOC,WMC,NC,DIT,LCOM,FANIN,FANOUT,File path
tika,org.apache.tika.example,DumpTikaConfigExampleTest,1,0,3,3,39,7,0,0,0.0,0,2,/Users/dunnkers/git/tika/tika-example/src/test/java/org/apache/tika/example/DumpTikaConfigExampleTest.java
tika,org.apache.tika.example,TranslatorExampleTest,1,0,2,2,12,3,0,0,0.0,0,0,/Users/dunnkers/git/tika/tika-example/src/test/java/org/apache/tika/example/TranslatorExampleTest.java
tika,org.apache.tika.example,LanguageDetectorExampleTest,1,0,2,2,10,2,0,0,0.0,0,0,/Users/dunnkers/git/tika/tika-example/src/test/java/org/apache/tika/example/LanguageDetectorExampleTest.java
tika,org.apache.tika.example,ContentHandlerExampleTest,1,0,6,6,53,7,0,0,0.0,0,0,/Users/dunnkers/git/tika/tika-example/src/test/java/org/apache/tika/example/ContentHandlerExampleTest.java
tika,org.apache.tika.example,TextStatsFromTikaEvalTest,0,0,1,1,7,1,0,0,-1.0,0,0,/Users/dunnkers/git/tika/tika-example/src/test/java/org/apache/tika/example/TextStatsFromTikaEvalTest.java
tika,org.apache.tika.example,SimpleTypeDetectorTest,0,0,1,1,10,1,0,0,-1.0,0,1,/Users/dunnkers/git/tika/tika-example/src/test/java/org/apache/tika/example/SimpleTypeDetectorTest.java
tika,org.apache.tika.example,AdvancedTypeDetectorTest,0,0,1,1,5,1,0,0,-1.0,0,1,/Users/dunnkers/git/tika/tika-example/src/test/java/org/apache/tika/example/AdvancedTypeDetectorTest.java
tika,org.apache.tika.example,TestParsingExample,1,0,9,9,47,9,0,0,0.3333333333333333,0,1,/Users/dunnkers/git/tika/tika-example/src/test/java/org/apache/tika/example/TestParsingExample.java
tika,org.apache.tika.example,SimpleTextExtractorTest,0,0,1,1,14,1,0,0,-1.0,0,1,/Users/dunnkers/git/tika/tika-example/src/test/java/org/apache/tika/example/SimpleTextExtractorTest.java
tika,org.apache.tika.example,ExtractEmbeddedFilesTest,2,0,3,3,20,4,0,0,0.0,0,0,/Users/dunnkers/git/tika/tika-example/src/test/java/org/apache/tika/example/ExtractEmbeddedFilesTest.java
tika,org.apache.tika.example,TextStatsFromTikaEval,0,0,1,1,19,1,0,0,-1.0,0,1,/Users/dunnkers/git/tika/tika-example/src/main/java/org/apache/tika/example/TextStatsFromTikaEval.java
tika,org.apache.tika.example,ParsingExample,0,0,7,7,111,8,0,0,-1.0,1,6,/Users/dunnkers/git/tika/tika-example/src/main/java/org/apache/tika/example/ParsingExample.java
tika,org.apache.tika.example,TrecDocumentGenerator,3,0,9,9,59,9,0,0,0.3333333333333333,0,1,/Users/dunnkers/git/tika/tika-example/src/main/java/org/apache/tika/example/TrecDocumentGenerator.java
tika,org.apache.tika.example,TrecDocument,3,0,8,8,48,8,0,0,0.25,0,0,/Users/dunnkers/git/tika/tika-example/src/main/java/org/apache/tika/example/TrecDocumentGenerator.java
tika,org.apache.tika.example,InterruptableParsingExample,3,0,3,2,39,5,0,0,0.0,0,1,/Users/dunnkers/git/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java
tika,org.apache.tika.example,QueryMatchedException,0,0,0,0,2,0,0,0,-1.0,0,0,/Users/dunnkers/git/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java
tika,org.apache.tika.example,InterruptingContentHandler,2,0,2,1,15,4,0,0,0.0,0,0,/Users/dunnkers/git/tika/tika-example/src/main/java/org/apache/tika/example/InterruptableParsingExample.java
tika,org.apache.tika.example,ImportContextImpl,8,0,15,14,155,24,0,0,0.0,0,2,/Users/dunnkers/git/tika/tika-example/src/main/java/org/apache/tika/example/ImportContextImpl.java
tika,org.apache.tika.example,PrescriptionParser,1,0,2,1,12,2,0,0,1.0,0,1,/Users/dunnkers/git/tika/tika-example/src/main/java/org/apache/tika/example/PrescriptionParser.java
