commit,repo,package,smell,cause,metric
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.example,God Component,MANY_CLASSES,54
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.sax,God Component,MANY_CLASSES,56
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.detect,God Component,MANY_CLASSES,37
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.utils,God Component,MANY_CLASSES,32
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.parser,God Component,MANY_CLASSES,53
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.parser.microsoft,God Component,MANY_CLASSES,93
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,42
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.mime,God Component,MANY_CLASSES,35
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.parser.image,God Component,MANY_CLASSES,46
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.parser.txt,God Component,MANY_CLASSES,63
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.parser.microsoft.chm,God Component,MANY_CLASSES,32
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.parser.microsoft.onenote,God Component,MANY_CLASSES,49
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.fork,God Component,MANY_CLASSES,32
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.metadata,God Component,MANY_CLASSES,38
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.server,God Component,MANY_CLASSES,40
b5aabd59f4cf20c4e1f37efd727fb090a56ffa7c,tika-cpu_1,org.apache.tika.batch,God Component,MANY_CLASSES,32
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.example,God Component,MANY_CLASSES,54
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.sax,God Component,MANY_CLASSES,56
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.detect,God Component,MANY_CLASSES,37
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.utils,God Component,MANY_CLASSES,32
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.parser,God Component,MANY_CLASSES,53
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.parser.microsoft,God Component,MANY_CLASSES,93
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,42
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.mime,God Component,MANY_CLASSES,35
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.parser.image,God Component,MANY_CLASSES,46
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.parser.txt,God Component,MANY_CLASSES,63
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.parser.microsoft.chm,God Component,MANY_CLASSES,32
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.parser.microsoft.onenote,God Component,MANY_CLASSES,49
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.fork,God Component,MANY_CLASSES,32
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.metadata,God Component,MANY_CLASSES,38
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.server,God Component,MANY_CLASSES,40
4e8f26080d128fa3a894fd00a712a465d65d2505,tika-cpu_1,org.apache.tika.batch,God Component,MANY_CLASSES,32
