commit,repo,package,smell,cause,metric
49bb4691393c016d8d65e6b11febca9e56feedef,tika-cpu_17,org.apache.tika.example,God Component,MANY_CLASSES,49
49bb4691393c016d8d65e6b11febca9e56feedef,tika-cpu_17,org.apache.tika.batch,God Component,MANY_CLASSES,31
49bb4691393c016d8d65e6b11febca9e56feedef,tika-cpu_17,org.apache.tika.detect,God Component,MANY_CLASSES,31
49bb4691393c016d8d65e6b11febca9e56feedef,tika-cpu_17,org.apache.tika.parser,God Component,MANY_CLASSES,37
49bb4691393c016d8d65e6b11febca9e56feedef,tika-cpu_17,org.apache.tika.mime,God Component,MANY_CLASSES,31
49bb4691393c016d8d65e6b11febca9e56feedef,tika-cpu_17,org.apache.tika.sax,God Component,MANY_CLASSES,45
49bb4691393c016d8d65e6b11febca9e56feedef,tika-cpu_17,org.apache.tika.metadata,God Component,MANY_CLASSES,34
49bb4691393c016d8d65e6b11febca9e56feedef,tika-cpu_17,org.apache.tika.parser.txt,God Component,MANY_CLASSES,63
49bb4691393c016d8d65e6b11febca9e56feedef,tika-cpu_17,org.apache.tika.parser.microsoft,God Component,MANY_CLASSES,52
49bb4691393c016d8d65e6b11febca9e56feedef,tika-cpu_17,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,31
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.parser.txt,God Component,MANY_CLASSES,63
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.parser.microsoft,God Component,MANY_CLASSES,53
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.parser.microsoft.onenote,God Component,MANY_CLASSES,49
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,32
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.sax,God Component,MANY_CLASSES,54
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.mime,God Component,MANY_CLASSES,32
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.detect,God Component,MANY_CLASSES,32
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.parser,God Component,MANY_CLASSES,47
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.server,God Component,MANY_CLASSES,38
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.batch,God Component,MANY_CLASSES,32
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.fork,God Component,MANY_CLASSES,32
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.metadata,God Component,MANY_CLASSES,34
bb4458e417116cfc1b7cba70783c5a97c9ec3681,tika-cpu_1,org.apache.tika.example,God Component,MANY_CLASSES,49
6745e8db32390ea94ca14f11ef02aa00f1ffc37e,tika-cpu_5,org.apache.tika.parser.txt,God Component,MANY_CLASSES,63
6745e8db32390ea94ca14f11ef02aa00f1ffc37e,tika-cpu_5,org.apache.tika.parser.microsoft,God Component,MANY_CLASSES,53
6745e8db32390ea94ca14f11ef02aa00f1ffc37e,tika-cpu_5,org.apache.tika.parser.microsoft.ooxml,God Component,MANY_CLASSES,32
6745e8db32390ea94ca14f11ef02aa00f1ffc37e,tika-cpu_5,org.apache.tika.sax,God Component,MANY_CLASSES,54
6745e8db32390ea94ca14f11ef02aa00f1ffc37e,tika-cpu_5,org.apache.tika.mime,God Component,MANY_CLASSES,32
6745e8db32390ea94ca14f11ef02aa00f1ffc37e,tika-cpu_5,org.apache.tika.detect,God Component,MANY_CLASSES,32
6745e8db32390ea94ca14f11ef02aa00f1ffc37e,tika-cpu_5,org.apache.tika.parser,God Component,MANY_CLASSES,43
