package,begin,end,n_commits,days
org.apache.tika.batch,2013-02-22 15:48:28+00:00,2020-12-14 06:57:27+01:00,2310,2851
org.apache.tika.detect,2013-02-22 15:48:28+00:00,2020-12-14 06:57:27+01:00,1534,2851
org.apache.tika.example,2013-02-22 15:48:28+00:00,2020-12-14 06:57:27+01:00,2334,2851
org.apache.tika.fork,2014-05-15 15:50:18+00:00,2020-12-14 06:57:27+01:00,724,2404
org.apache.tika.metadata,2013-02-22 15:48:28+00:00,2020-12-14 06:57:27+01:00,1693,2851
org.apache.tika.mime,2013-02-22 15:48:28+00:00,2020-12-14 06:57:27+01:00,2309,2851
org.apache.tika.parser,2013-02-22 15:48:28+00:00,2020-12-14 06:57:27+01:00,2312,2851
org.apache.tika.parser.microsoft,2011-11-25 15:26:02+00:00,2020-12-14 06:57:27+01:00,2923,3306
org.apache.tika.parser.microsoft.chm,2020-08-21 11:32:26-04:00,2020-12-14 06:57:27+01:00,155,114
org.apache.tika.parser.microsoft.onenote,2017-04-27 00:01:07-07:00,2020-12-14 06:57:27+01:00,303,1326
org.apache.tika.parser.microsoft.ooxml,2013-02-22 15:48:28+00:00,2020-12-14 06:57:27+01:00,1388,2851
org.apache.tika.parser.txt,2009-05-22 18:21:59+00:00,2020-12-14 06:57:27+01:00,4414,4223
org.apache.tika.sax,2011-09-25 09:42:05+00:00,2020-12-14 06:57:27+01:00,3601,3367
org.apache.tika.server,2012-05-18 01:55:18+00:00,2020-12-14 06:57:27+01:00,1007,3132
org.apache.tika.utils,2014-05-15 15:50:18+00:00,2020-12-14 06:57:27+01:00,87,2404
