commit,package,additions,deletions,LOC,change
fe4cd58cced0e15f1848afbc2518ab4a66e6867f,org.apache.tika.batch,6638,0,6638,6638
dbc5eb76b7a21587eba83724e36bff1cb29e72c6,org.apache.tika.batch,251,227,6662,24
8054dddc156444a0e67a66fcd2dbc9b4bb5db4b7,org.apache.tika.batch,13,14,6661,-1
4ae33b70378e0ee66b7d9c95d6fd7d51b10cc658,org.apache.tika.batch,28,26,6663,2
6a013f550bf7e8cfbed4652ec3785e1627d0f7ea,org.apache.tika.batch,353,334,6682,19
b45a092e33c720c8d6f086605366b37432990bab,org.apache.tika.batch,121,124,6679,-3
a19c06feb2b3c315f810cdf2238ca159ffbfc820,org.apache.tika.batch,2,0,6681,2
7ada2169584970ab9cc8d032c1571dfae78d4fe6,org.apache.tika.batch,2,4,6679,-2
88f140f5cfd63202a48bab7a43e2c6cae05ea8da,org.apache.tika.batch,450,450,6679,0
cc326059cd05b9df51bbc82fba6528cb09f4395e,org.apache.tika.batch,149,4,6824,145
cc9fbcf8ae86e08879c64a56c0eed78dd3169ec0,org.apache.tika.batch,27,0,6851,27
90a2202b5b4a75e7f673bfb42a912cb97ae6d26e,org.apache.tika.batch,208,19,7040,189
6029c0d5c4e07ff217fcd43a6c1e81170acf603e,org.apache.tika.batch,5,2,7043,3
4dcfb74cf702aa88a94f58ca79ede313dfb45852,org.apache.tika.batch,4,4,7043,0
8045b054b612d9e4f8449e9c2ab1e4dcfd84214a,org.apache.tika.batch,51,8,7086,43
8f598d701b1782ef6708634a994b0a12e55f02c9,org.apache.tika.batch,42,46,7082,-4
24b8c2a918ac599b5aff1265f2e08014de1a2fe0,org.apache.tika.batch,2,20,7064,-18
71d72df9514ec970f6231f77cd978bf7d15720ea,org.apache.tika.batch,709,350,7423,359
91422cb971440950403688f0cadb10e814d39250,org.apache.tika.batch,1,10,7414,-9
bbbfaac1b5bbcb61bcb6015a196a8de04174b627,org.apache.tika.batch,3,4,7413,-1
a960709593b0a88286e3aa3d1e71888f99ce1b85,org.apache.tika.batch,58,30,7441,28
34db93595c71745e3bccdabc39e72181c03abbbd,org.apache.tika.batch,92,32,7501,60
67fac456cb29359b69e2d1a5e0bc22fd51a09eb5,org.apache.tika.batch,2,2,7501,0
172c58443550d256a94994aba24c6600a2397256,org.apache.tika.batch,13,18,7496,-5
da1fe243ace68cc2b5c4bde022113233ad95ea15,org.apache.tika.batch,107,52,7551,55
80b27e6d843d221de87591d34632e546c0d23b1a,org.apache.tika.batch,13,18,7546,-5
e780d56652d48dd0f50b4e62a58153e95f055022,org.apache.tika.batch,107,52,7601,55
1b72a3863b8eeb5f4f5d290e5f02c7d072b1cd9b,org.apache.tika.batch,20,17,7604,3
c3383b005f9879019a9a18e6eae362e3498acf54,org.apache.tika.batch,10,1,7613,9
e8ee4ce7fbdc4fd8d0a496731f2b0a481687b72f,org.apache.tika.batch,131,156,7588,-25
6ff825c684236a6e1c8a4f77cbcd2d7fb953870e,org.apache.tika.batch,9,20,7577,-11
0d8f030f02830a39e004fbfbd6989128ec2047d7,org.apache.tika.batch,140,176,7541,-36
e56e2b2915e8cebcf97c69cdcb3ecff861434f61,org.apache.tika.batch,161,185,7517,-24
5410928d740baf6cdcf6ce225f105482f3a2fc11,org.apache.tika.batch,12,3,7526,9
134cb3812aba88152f665c1d14ff65092f21d051,org.apache.tika.batch,12,3,7535,9
ebb4bc6d7bf82fe618b7a4b5f4e9b4278b96c0d2,org.apache.tika.batch,12,3,7544,9
b618984cc78df5696886404c6579d2bad71e1bb8,org.apache.tika.batch,12,3,7553,9
cf1c283623b4f53c335335148d0270b7c2ce0a28,org.apache.tika.batch,1,1,7553,0
82ac81bf133f507b3c20c6046d338282ba3b6904,org.apache.tika.batch,1,1,7553,0
083f7b860bd0cb8ff5d13120d808e0c77ce05999,org.apache.tika.batch,5,1,7557,4
e41c129dfe7323b6f58aef2a3eed5167cc16b014,org.apache.tika.batch,1,6,7552,-5
26d6e0d4e6822974d3e1f1cba90e0070ab6dfe30,org.apache.tika.batch,3,3,7552,0
7dd38d5500c539328e2b0a083e1998a28e680539,org.apache.tika.batch,3,4,7551,-1
c0c2eafe46224e5c316f2dede395308930a5ec0d,org.apache.tika.batch,4,2,7553,2
384e97156c5c5bf54d54b452c1783b7c4e5df068,org.apache.tika.batch,74,65,7562,9
b5f5403fb150f2a290fe1cfa10a6fe572b1dd50a,org.apache.tika.batch,81,71,7572,10
10a8eec119c7a77be76000b30aaffb96a552cc44,org.apache.tika.batch,8,6,7574,2
e6e3b8817053e981f3843f1d3b7055b4ae30ed73,org.apache.tika.batch,8,6,7576,2
5f05b511d7d1184f6f25a2b644b615c4f21b8e68,org.apache.tika.batch,75,45,7606,30
7707dea4e0445b0e22e06c9d4cbd069bc72212e2,org.apache.tika.batch,49,29,7626,20
c844fc3928516f710a1e62ab99c4eb3f8ab27410,org.apache.tika.batch,198,42,7782,156
e7b481dd763ff4f586a94b981281923e4604010a,org.apache.tika.batch,247,71,7958,176
180aaa213d2dc697f8bad0eafdb9d316ad307218,org.apache.tika.batch,3,2,7959,1
01c53eaa6d709972b03735574aa58dc0abcdc51c,org.apache.tika.batch,1,1,7959,0
5a4a0eecf61d7ced2a708d0184df5179c125dd4b,org.apache.tika.batch,5,8,7956,-3
64302aa88bd8de81771712ccafa778a34cefd7c2,org.apache.tika.batch,18,18,7956,0
30c3d8104a51f015416382995435a4785059f07c,org.apache.tika.batch,67,41,7982,26
dfe737c94bb71fe415fb6fa4fae505a73bd2e654,org.apache.tika.batch,67,41,8008,26
6e2822bed2f17b2b55796a6084c36f3060fae3e6,org.apache.tika.batch,22,7,8023,15
862f51af1d75f45ea25aecefa5aee024afc4358b,org.apache.tika.batch,2,0,8025,2
dad1c722ceb7b8583f878d5e5bba88325f5f3530,org.apache.tika.batch,2,1,8026,1
3bdcd9714b8259c7c8c2ae1d5837148016d5bdaf,org.apache.tika.batch,36,9,8053,27
bf224dc2f09c029df3f93ae0b136eb294e2c233f,org.apache.tika.batch,36,9,8080,27
f9104d17ad0b92b243501fdf0863b4ccdaa5e791,org.apache.tika.batch,8,3,8085,5
e538494a43851af54807e4e55817fe742420adcf,org.apache.tika.batch,1,1,8085,0
7af5657b7054082e40e2ab6c894c5f5357c698b9,org.apache.tika.batch,1,1,8085,0
3bc0835d640c4dc51619b60821f546d3365ecc23,org.apache.tika.batch,1,1,8085,0
ccb4c2f02d4dd11a0fabcb7349e0784d8165dd6e,org.apache.tika.batch,16,20,8081,-4
f29362d91b46864a7f924c60f7cf691ac18f11b2,org.apache.tika.batch,6,8,8079,-2
53fef890942bdf69d455abbbecc17cd22d6621d6,org.apache.tika.batch,1,1,8079,0
44c0c83971ab5503db4e7258e258a0d3a360594a,org.apache.tika.batch,1,1,8079,0
7595d820633d2588234b6650ab36265a4dcdfec0,org.apache.tika.batch,6,8,8077,-2
faad4c316634880df054dc6178e18f172a132d4e,org.apache.tika.batch,4,4,8077,0
37f0559c28dd485557f5d66e9c0fe6cb6123b225,org.apache.tika.batch,4,4,8077,0
d27f148ef720559f17bdd16be456de904159ce7e,org.apache.tika.batch,10,8,8079,2
8dfee9ecff0ad4f01555abdae82d5e5e8e5c8690,org.apache.tika.batch,5,8,8076,-3
49bd7d574143fde300151f70319d9cc25559e66d,org.apache.tika.batch,5,8,8073,-3
6401ca084ac9409bf6b6c94b2fa4ff293e427133,org.apache.tika.batch,2,2,8073,0
3571725a948a4676f1904799209271eeaf18b102,org.apache.tika.batch,1,3,8071,-2
dd85c73094dc87f6f6e208278325be810761f490,org.apache.tika.batch,1,3,8069,-2
326b7d7abda238ccc181fc2acaf2271e08fe9c1b,org.apache.tika.batch,3,1,8071,2
7f65d61b4fe1f4c1d4929bbe1c456c68afd44b6c,org.apache.tika.batch,1,3,8069,-2
a77cf075e846390fc25768b1cc8c59a56c2ab9e3,org.apache.tika.detect,59,0,59,59
7d67ade82b0022851d5f8c6d6811328b200d10f6,org.apache.tika.detect,2,2,59,0
006831e911d0583045379830ffd77ec58ffb351d,org.apache.tika.detect,181,0,240,181
2e25dc0d756327e90cfbfca1b27e440b4a2e8b21,org.apache.tika.detect,1,0,241,1
2a6d72672029eda0fa94547c0febf84b57a6bc6c,org.apache.tika.detect,64,13,292,51
e11ead4e079a326bc22be640894b46cd6131037d,org.apache.tika.detect,2,0,294,2
d806c4d505445bd764541a5061963c5e99088390,org.apache.tika.detect,120,0,414,120
816eb2675a0c9bbdcfcb0bba139cbad0a7a5d35b,org.apache.tika.detect,313,0,727,313
b6bcbd9db2c10ba2358da965a65f91939ec69deb,org.apache.tika.detect,180,0,907,180
59ec6ce2fcb68ec2cefdc0e52edd84196abe77d0,org.apache.tika.detect,27,1,933,26
de1a3536a9a92d9d4af33f89abaefbe3dd85de31,org.apache.tika.detect,6,7,932,-1
32d2989e2fbc64cba3ac4eea29046f9babc1414e,org.apache.tika.detect,22,9,945,13
