package,commit,is gc,# classes,# classes diff,author,datetime,jira
org.apache.tika.batch,90a2202b5b4a75e7f673bfb42a912cb97ae6d26e,True,31,0,Tim Allison,2015-06-28 01:57:30+00:00,TIKA-1663
org.apache.tika.batch,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.detect,6d022be03b5423f6c036e1aa45e4ce02a9678462,True,31,0,tballison,2017-02-23 15:54:42-05:00,TIKA-2273
org.apache.tika.detect,b5b4eb6fde6c34c12d534e9412c0c73326b9886c,False,,0,Cameron Rollheiser,2017-05-17 09:44:34-04:00,
org.apache.tika.detect,9d34cbb92a43bc52b4886954e0771ca6eea96bad,True,31,0,Tim Allison,2017-05-18 06:12:50-04:00,
org.apache.tika.detect,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.example,f54cb9e354b71e720602acfa0b4da8f100b400c2,True,43,0,Chris Mattmann,2015-05-04 21:52:53+00:00,TIKA-1562
org.apache.tika.example,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.fork,cb1bbc052188bf5e45e5dc17570180df1fe27df9,True,31,0,tballison,2018-05-31 15:25:08-04:00,TIKA-2653
org.apache.tika.fork,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.metadata,ce07d8a10499fae015f07ca4fd4daf3473ca5193,True,31,0,tballison,2016-09-26 12:24:14-04:00,TIKA-2057
org.apache.tika.metadata,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.mime,281fedfc86acbb5e01015f1462a27a86a65403f0,True,31,0,Chris Mattmann,2015-05-02 04:58:35+00:00,TIKA-1571
org.apache.tika.mime,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.parser,99b53cec502b9266b1e47aa98170e976aa1ebe3d,True,32,0,Tyler Palsulich,2015-02-21 05:17:58+00:00,TIKA-1558
org.apache.tika.parser,5f506c1627d442f9366a1eafef1a0195fa24bf79,False,,0,Tyler Palsulich,2015-03-31 21:37:31+00:00,TIKA-1558
org.apache.tika.parser,90a2202b5b4a75e7f673bfb42a912cb97ae6d26e,True,32,0,Tim Allison,2015-06-28 01:57:30+00:00,TIKA-1663
org.apache.tika.parser,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.parser.microsoft,f05edfe4120445fc93dd781e9daa85a5c371a26d,True,31,0,Nick Burch,2011-11-25 15:26:02+00:00,TIKA-789
org.apache.tika.parser.microsoft,963100eb1806048809b1fb2cb5076afdd640cdfa,False,,0,Michael McCandless,2012-11-18 16:10:23+00:00,TIKA-1025
org.apache.tika.parser.microsoft,7b2c4e87c822c98e334acc06a7fef8b7f89d6ccd,True,31,0,Hong-Thai Nguyen,2014-02-27 15:34:13+00:00,
org.apache.tika.parser.microsoft,398f50f51fb363b9aac60ec50f54d977089ef957,False,,0,Tim Allison,2014-04-11 01:48:48+00:00,TIKA-1271
org.apache.tika.parser.microsoft,46b321f798bdafeb390bdf1a23ae665c3fad3fec,True,31,0,Nick Burch,2014-12-22 05:15:54+00:00,TIKA-1490
org.apache.tika.parser.microsoft,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.parser.microsoft.chm,f9104d17ad0b92b243501fdf0863b4ccdaa5e791,True,32,0,Tim Allison,2020-08-21 11:32:26-04:00,
org.apache.tika.parser.microsoft.chm,ad0d98b9a155e483b815eb01e36ebd02a101695a,True,32,0,Nick Burch,2020-09-29 15:26:48+01:00,TIKA-3205
org.apache.tika.parser.microsoft.chm,5fdb70ae4770301d6b101e9007a1058e15abac94,False,,0,Nick Burch,2020-09-29 15:26:48+01:00,TIKA-3205
org.apache.tika.parser.microsoft.chm,8dbb5736fa92b323e270e2075b42dce458a3abd6,False,,0,tallison,2020-12-02 09:41:07-05:00,TIKA-3241
org.apache.tika.parser.microsoft.chm,12198666bf0cf6811613c9ae27c4a384e42875b1,True,32,0,tallison,2020-12-02 12:04:33-05:00,TIKA-3241
org.apache.tika.parser.microsoft.chm,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.parser.microsoft.onenote,c85f5cc4729f1d6bd81c24bab375e89fd1037237,True,48,0,Nicholas DiPiazza,2019-12-16 15:56:48-06:00,
org.apache.tika.parser.microsoft.onenote,8dbb5736fa92b323e270e2075b42dce458a3abd6,False,,0,tallison,2020-12-02 09:41:07-05:00,TIKA-3241
org.apache.tika.parser.microsoft.onenote,12198666bf0cf6811613c9ae27c4a384e42875b1,True,49,0,tallison,2020-12-02 12:04:33-05:00,TIKA-3241
org.apache.tika.parser.microsoft.onenote,7f876954a37eeeb7463c0e64a2b7e019baa002a1,False,,0,Lee,2020-12-16 20:48:40+08:00,
org.apache.tika.parser.microsoft.ooxml,315a0d6be3714024dd5259444f739a026f0de574,True,31,0,tballison,2017-03-23 09:23:55-04:00,
org.apache.tika.parser.microsoft.ooxml,fbd2a4ea272ad90812d50b6c9fec3cd50b3d632b,False,,0,tballison,2017-03-23 09:34:48-04:00,
org.apache.tika.parser.microsoft.ooxml,67612b8f805ad5d1085db14922d3b3b6ddce19bf,True,31,0,tballison,2017-04-19 10:11:29-04:00,TIKA-1195
org.apache.tika.parser.microsoft.ooxml,834920e769e674b0af8024fdb6067ee12651d196,False,,0,Thamme Gowda,2017-04-20 13:31:12-07:00,
org.apache.tika.parser.microsoft.ooxml,dd515914e5b2986247834307eb7c922c3c2c50a9,True,31,0,Thamme Gowda,2017-04-20 13:35:58-07:00,TIKA-2307
org.apache.tika.parser.microsoft.ooxml,2217a8f4107cc0b6b4d238a641a3e9c4c7abf384,False,,0,Chris Mattmann,2017-05-03 11:50:22-07:00,
org.apache.tika.parser.microsoft.ooxml,e7b0cadfeaf76bf6bd96ad35b3510633368a1a07,True,31,0,Pascal Essiembre,2017-05-03 15:54:03-04:00,TIKA-2352
org.apache.tika.parser.microsoft.ooxml,c5da6bbbddf877585a2869e4f3d963b3f7d62795,False,,0,Chris Mattmann,2017-05-03 13:14:55-07:00,
org.apache.tika.parser.microsoft.ooxml,19348811a9ff9e89cb309334cfba010a62b72600,True,31,0,tballison,2017-05-03 16:16:56-04:00,TIKA-2352
org.apache.tika.parser.microsoft.ooxml,b46f20d41157a1d4b8d4cd2ced67fdf1f6772e47,False,,0,Chris Mattmann,2017-05-03 13:17:16-07:00,
org.apache.tika.parser.microsoft.ooxml,70d2455c4ff7c54afe6762d5b50653b8de06f2b2,True,31,0,Chris Mattmann,2017-05-03 13:32:42-07:00,TIKA-2016
org.apache.tika.parser.microsoft.ooxml,01ae9876663cb522f886322be8c2d395ab279854,False,,0,Thamme Gowda,2017-05-03 21:47:07-07:00,
org.apache.tika.parser.microsoft.ooxml,414a4297a2000d8f9276e0ed5d657643f8e94d3a,True,31,0,Madhav Sharan,2017-05-04 15:58:18-07:00,TIKA-2355
org.apache.tika.parser.microsoft.ooxml,1e436f50ec97862b41805b678415d65a8fecd2b3,False,,0,Chris Mattmann,2017-05-07 11:33:04-07:00,
org.apache.tika.parser.microsoft.ooxml,0aaa1215fd11632c349e9bdebac9829578276cb1,True,31,0,David Meikle,2017-05-08 14:32:19+01:00,TIKA-2357
org.apache.tika.parser.microsoft.ooxml,704a0393334d2b9911bc19ae458801e7fed7f796,False,,0,Chris Mattmann,2017-05-08 22:22:44-07:00,
org.apache.tika.parser.microsoft.ooxml,3207f12c13491005b16104cbeeea8d3da2f6966d,True,31,0,Chris Mattmann,2017-05-08 22:54:47-07:00,
org.apache.tika.parser.microsoft.ooxml,b5b4eb6fde6c34c12d534e9412c0c73326b9886c,False,,0,Cameron Rollheiser,2017-05-17 09:44:34-04:00,
org.apache.tika.parser.microsoft.ooxml,9d34cbb92a43bc52b4886954e0771ca6eea96bad,True,31,0,Tim Allison,2017-05-18 06:12:50-04:00,
