author,datetime,message,jira,commit,package,# classes,plot_pos,is gc
Tim Allison,2015-06-28 01:57:30+00:00,TIKA-1663 add a DigestingParser,TIKA-1663,90a2202b5b4a75e7f673bfb42a912cb97ae6d26e,org.apache.tika.batch,31.0,15,True
Tim Allison,2017-05-18 06:12:50-04:00,Merge pull request #181 from icirellik/close-fonts,,9d34cbb92a43bc52b4886954e0771ca6eea96bad,org.apache.tika.detect,31.0,14,True
Cameron Rollheiser,2017-05-17 09:44:34-04:00,TrueTypeParser Close Open Fonts,,,org.apache.tika.detect,,14,False
tballison,2017-02-23 15:54:42-05:00,TIKA-2273 -- two tests turned off temporarily in bundle.  First draft of adding configurability to EncodingDetectors,TIKA-2273,6d022be03b5423f6c036e1aa45e4ce02a9678462,org.apache.tika.detect,31.0,14,True
Chris Mattmann,2015-05-04 21:52:53+00:00,TIKA-1562: Add examples from the Tika in Action book,TIKA-1562,f54cb9e354b71e720602acfa0b4da8f100b400c2,org.apache.tika.example,43.0,13,True
tballison,2018-05-31 15:25:08-04:00,Merge remote-tracking branch 'origin/master' into TIKA-2653,TIKA-2653,cb1bbc052188bf5e45e5dc17570180df1fe27df9,org.apache.tika.fork,31.0,12,True
tballison,2016-09-26 12:24:14-04:00,TIKA-2057 - maintain DocInfo metadata in PDFs,TIKA-2057,ce07d8a10499fae015f07ca4fd4daf3473ca5193,org.apache.tika.metadata,31.0,11,True
Chris Mattmann,2015-05-02 04:58:35+00:00,Fix for TIKA-1571 add probabilistic mime selection contributed by LukeLiush <hanson311biz@gmail.com> this closes #41.,TIKA-1571,281fedfc86acbb5e01015f1462a27a86a65403f0,org.apache.tika.mime,31.0,10,True
Tim Allison,2015-06-28 01:57:30+00:00,TIKA-1663 add a DigestingParser,TIKA-1663,90a2202b5b4a75e7f673bfb42a912cb97ae6d26e,org.apache.tika.parser,32.0,9,True
Tyler Palsulich,2015-03-31 21:37:31+00:00,TIKA-1558. Refactor Parser blacklisting.,TIKA-1558,,org.apache.tika.parser,,9,False
Tyler Palsulich,2015-02-21 05:17:58+00:00,TIKA-1558. Enable blacklisting of Parsers and other services with a servicename.blacklist META-INF file.,TIKA-1558,99b53cec502b9266b1e47aa98170e976aa1ebe3d,org.apache.tika.parser,32.0,9,True
Nick Burch,2014-12-22 05:15:54+00:00,TIKA-1490 Parser for old Excel 2-4 files,TIKA-1490,46b321f798bdafeb390bdf1a23ae665c3fad3fec,org.apache.tika.parser.microsoft,31.0,8,True
Tim Allison,2014-04-11 01:48:48+00:00,TIKA-1271: trivial refactoring of classes useful for testing embedded document handling,TIKA-1271,,org.apache.tika.parser.microsoft,,8,False
Hong-Thai Nguyen,2014-02-27 15:34:13+00:00,Add more test of OfficeParser,,7b2c4e87c822c98e334acc06a7fef8b7f89d6ccd,org.apache.tika.parser.microsoft,31.0,8,True
Michael McCandless,2012-11-18 16:10:23+00:00,TIKA-1025: leave placeholder where embedded docs appear in .ppt extraction,TIKA-1025,,org.apache.tika.parser.microsoft,,8,False
Nick Burch,2011-11-25 15:26:02+00:00,"TIKA-789 Add (metadata only) Project support to OfficeParser, and add a unit test that checks we correctly get Project metadata back from our sample files",TIKA-789,f05edfe4120445fc93dd781e9daa85a5c371a26d,org.apache.tika.parser.microsoft,31.0,8,True
tallison,2020-12-02 12:04:33-05:00,TIKA-3241 -- fix more git add problems,TIKA-3241,12198666bf0cf6811613c9ae27c4a384e42875b1,org.apache.tika.parser.microsoft.chm,32.0,7,True
tallison,2020-12-02 09:41:07-05:00,TIKA-3241 -- clarify parser module structure,TIKA-3241,,org.apache.tika.parser.microsoft.chm,,7,False
Nick Burch,2020-09-29 15:26:48+01:00,Add test certificate and key for TIKA-3205,TIKA-3205,ad0d98b9a155e483b815eb01e36ebd02a101695a,org.apache.tika.parser.microsoft.chm,32.0,7,True
Nick Burch,2020-09-29 15:26:48+01:00,Add test certificate and key for TIKA-3205,TIKA-3205,,org.apache.tika.parser.microsoft.chm,,7,False
Tim Allison,2020-08-21 11:32:26-04:00,Branch 2x (#341),,f9104d17ad0b92b243501fdf0863b4ccdaa5e791,org.apache.tika.parser.microsoft.chm,32.0,7,True
tallison,2020-12-02 12:04:33-05:00,TIKA-3241 -- fix more git add problems,TIKA-3241,12198666bf0cf6811613c9ae27c4a384e42875b1,org.apache.tika.parser.microsoft.onenote,49.0,6,True
tallison,2020-12-02 09:41:07-05:00,TIKA-3241 -- clarify parser module structure,TIKA-3241,,org.apache.tika.parser.microsoft.onenote,,6,False
Nicholas DiPiazza,2019-12-16 15:56:48-06:00,squash commits of one note tika parser (#303),,c85f5cc4729f1d6bd81c24bab375e89fd1037237,org.apache.tika.parser.microsoft.onenote,48.0,6,True
tallison,2020-12-02 12:04:33-05:00,TIKA-3241 -- fix more git add problems,TIKA-3241,12198666bf0cf6811613c9ae27c4a384e42875b1,org.apache.tika.parser.microsoft.ooxml,34.0,5,True
tallison,2020-12-02 09:41:07-05:00,TIKA-3241 -- clarify parser module structure,TIKA-3241,,org.apache.tika.parser.microsoft.ooxml,,5,False
Tim Allison,2017-05-18 06:12:50-04:00,Merge pull request #181 from icirellik/close-fonts,,9d34cbb92a43bc52b4886954e0771ca6eea96bad,org.apache.tika.parser.microsoft.ooxml,31.0,5,True
Cameron Rollheiser,2017-05-17 09:44:34-04:00,TrueTypeParser Close Open Fonts,,,org.apache.tika.parser.microsoft.ooxml,,5,False
Chris Mattmann,2017-05-08 22:54:47-07:00,Merge pull request #165 from thammegowda/tika-dl,,3207f12c13491005b16104cbeeea8d3da2f6966d,org.apache.tika.parser.microsoft.ooxml,31.0,5,True
Chris Mattmann,2017-05-08 22:22:44-07:00,Pin to DL4J model 0.8.0-2.,,,org.apache.tika.parser.microsoft.ooxml,,5,False
